name,x_Cr_,x_Nb_,phase
run1,0.421008,0.0966169,L
run2,0.358769,0.120853,D
run3,0.395493,0.114227,L
run4,0.395502,0.136681,L
run5,0.374175,0.119517,L
run6,0.412155,0.131506,L
run7,0.416505,0.102723,L
run8,0.434002,0.0950147,L
run9,0.385003,0.0912119,D
run10,0.395339,0.0848922,D
run11,0.395983,0.104254,L
run12,0.391394,0.12298,L
run13,0.406979,0.13485,L
run14,0.41144,0.100486,L
run15,0.397045,0.116374,L
run16,0.418358,0.11891,L
run17,0.425367,0.0845823,L
run18,0.402669,0.121815,L
run19,0.357461,0.12083,D
run20,0.382552,0.119107,L
run21,0.378676,0.110519,L
run22,0.388024,0.108403,L
run23,0.390758,0.106783,L
run24,0.413641,0.0672718,D
run25,0.379436,0.0973165,D
run26,0.404863,0.0895167,L
run27,0.392195,0.0823519,D
run28,0.384668,0.116166,L
run29,0.362138,0.103246,D
run30,0.378386,0.117108,L
run31,0.370229,0.123759,L
run32,0.354682,0.116784,D
run33,0.35803,0.110731,D
run34,0.404409,0.0931153,L
run35,0.389912,0.0956916,D
run36,0.407755,0.0923428,L
run37,0.405393,0.129831,L
run38,0.389026,0.144099,L
run39,0.415826,0.0681027,D
run40,0.354898,0.113438,D
run41,0.385334,0.0970583,D
run42,0.40556,0.116861,L
run43,0.405657,0.1146,L
run44,0.443649,0.0939045,L
run45,0.373366,0.123346,L
run46,0.3773,0.114466,L
run47,0.39046,0.149845,L
run48,0.380453,0.0853083,D
run49,0.391752,0.136396,L
run50,0.368905,0.0997343,D
run51,0.432921,0.095582,L
run52,0.413569,0.0928994,L
run53,0.364978,0.111178,D
run54,0.417697,0.0714013,D
run55,0.404837,0.129071,L
run56,0.418813,0.0706706,D
run57,0.421398,0.105861,L
run58,0.40828,0.131174,L
run59,0.38971,0.136505,L
run60,0.415035,0.0709127,D
run61,0.404334,0.12769,L
run62,0.378712,0.144082,L
run63,0.39731,0.0693382,D
run64,0.416586,0.124692,L
run65,0.372676,0.10873,D
run66,0.420887,0.0774206,L
run67,0.424321,0.0642226,D
run68,0.392098,0.10677,L
run69,0.388685,0.109176,L
run70,0.457823,0.0551858,L
run71,0.382323,0.0989836,D
run72,0.425674,0.0776638,L
run73,0.416893,0.0677936,D
run74,0.455536,0.0581215,L
run75,0.438526,0.0617505,L
run76,0.397281,0.0824687,D
run77,0.404094,0.0748497,D
run78,0.443886,0.0678954,L
run79,0.397276,0.0995488,L
run80,0.438224,0.0514617,D
run81,0.382895,0.102362,D
run82,0.438042,0.0523011,D
run83,0.43044,0.0563232,D
run84,0.41355,0.0808578,L
run85,0.396223,0.0849349,D
run86,0.398714,0.0799,D
run87,0.446681,0.0627851,L
run88,0.418744,0.0713418,D
run89,0.427995,0.0799378,L
run90,0.417908,0.073969,D
run91,0.418332,0.0824511,L
run92,0.412643,0.0779593,D
run93,0.449957,0.058645,L
run94,0.39988,0.0775884,D
run95,0.384158,0.0917616,D
run96,0.459432,0.0496184,L
run97,0.451924,0.0510783,L
run98,0.392014,0.0942018,D
run99,0.395262,0.104621,L
run100,0.43143,0.0718565,L
